"AOU" "animal" "ORDER" "Family" "Genus" "Epithet" "animal_jetz"
"1" 1770 "Dendrocygna_autumnalis" "Anseriformes" "Anatidae" "Dendrocygna" "autumnalis" "Dendrocygna_autumnalis"
"2" 1780 "Dendrocygna_bicolor" "Anseriformes" "Anatidae" "Dendrocygna" "bicolor" "Dendrocygna_bicolor"
"3" 1710 "Anser_albifrons" "Anseriformes" "Anatidae" "Anser" "albifrons" "Anser_albifrons"
"4" 1740 "Branta_bernicla" "Anseriformes" "Anatidae" "Branta" "bernicla" "Branta_bernicla"
"5" 1720 "Branta_canadensis" "Anseriformes" "Anatidae" "Branta" "canadensis" "Branta_canadensis"
"6" 1782 "Cygnus_olor" "Anseriformes" "Anatidae" "Cygnus" "olor" "Cygnus_olor"
"7" 1810 "Cygnus_buccinator" "Anseriformes" "Anatidae" "Cygnus" "buccinator" "Cygnus_buccinator"
"8" 1800 "Cygnus_columbianus" "Anseriformes" "Anatidae" "Cygnus" "columbianus" "Cygnus_columbianus"
"9" 10210 "Cairina_moschata" "Anseriformes" "Anatidae" "Cairina" "moschata" "Cairina_moschata"
"10" 1440 "Aix_sponsa" "Anseriformes" "Anatidae" "Aix" "sponsa" "Aix_sponsa"
"11" 1400 "Spatula_discors" "Anseriformes" "Anatidae" "Spatula" "discors" "Anas_discors"
"12" 1410 "Spatula_cyanoptera" "Anseriformes" "Anatidae" "Spatula" "cyanoptera" "Anas_cyanoptera"
"13" 1420 "Spatula_clypeata" "Anseriformes" "Anatidae" "Spatula" "clypeata" "Anas_clypeata"
"14" 1350 "Mareca_strepera" "Anseriformes" "Anatidae" "Mareca" "strepera" "Anas_strepera"
"15" 1370 "Mareca_americana" "Anseriformes" "Anatidae" "Mareca" "americana" "Anas_americana"
"16" 1320 "Anas_platyrhynchos" "Anseriformes" "Anatidae" "Anas" "platyrhynchos" "Anas_platyrhynchos"
"17" 1331 "Anas_platyrhynchos" "Anseriformes" "Anatidae" "Anas" "platyrhynchos" "Anas_platyrhynchos"
"18" 1330 "Anas_rubripes" "Anseriformes" "Anatidae" "Anas" "rubripes" "Anas_rubripes"
"19" 1340 "Anas_fulvigula" "Anseriformes" "Anatidae" "Anas" "fulvigula" "Anas_fulvigula"
"20" 1430 "Anas_acuta" "Anseriformes" "Anatidae" "Anas" "acuta" "Anas_acuta"
"21" 1390 "Anas_crecca" "Anseriformes" "Anatidae" "Anas" "crecca" "Anas_crecca"
"22" 1470 "Aythya_valisineria" "Anseriformes" "Anatidae" "Aythya" "valisineria" "Aythya_valisineria"
"23" 1460 "Aythya_americana" "Anseriformes" "Anatidae" "Aythya" "americana" "Aythya_americana"
"24" 1500 "Aythya_collaris" "Anseriformes" "Anatidae" "Aythya" "collaris" "Aythya_collaris"
"25" 1480 "Aythya_marila" "Anseriformes" "Anatidae" "Aythya" "marila" "Aythya_marila"
"26" 1490 "Aythya_affinis" "Anseriformes" "Anatidae" "Aythya" "affinis" "Aythya_affinis"
"27" 1489 "Aythya_marila" "Anseriformes" "Anatidae" "Aythya" "marila" "Aythya_marila"
"28" 1590 "Somateria_mollissima" "Anseriformes" "Anatidae" "Somateria" "mollissima" "Somateria_mollissima"
"29" 1550 "Histrionicus_histrionicus" "Anseriformes" "Anatidae" "Histrionicus" "histrionicus" "Histrionicus_histrionicus"
"30" 1660 "Melanitta_perspicillata" "Anseriformes" "Anatidae" "Melanitta" "perspicillata" "Melanitta_perspicillata"
"31" 1650 "Melanitta_deglandi" "Anseriformes" "Anatidae" "Melanitta" "deglandi" "Melanitta_fusca"
"32" 1630 "Melanitta_americana" "Anseriformes" "Anatidae" "Melanitta" "americana" "Melanitta_nigra"
"34" 1540 "Clangula_hyemalis" "Anseriformes" "Anatidae" "Clangula" "hyemalis" "Clangula_hyemalis"
"35" 1530 "Bucephala_albeola" "Anseriformes" "Anatidae" "Bucephala" "albeola" "Bucephala_albeola"
"36" 1510 "Bucephala_clangula" "Anseriformes" "Anatidae" "Bucephala" "clangula" "Bucephala_clangula"
"37" 1520 "Bucephala_islandica" "Anseriformes" "Anatidae" "Bucephala" "islandica" "Bucephala_islandica"
"38" 1512 "Bucephala_clangula" "Anseriformes" "Anatidae" "Bucephala" "clangula" "Bucephala_clangula"
"39" 1310 "Lophodytes_cucullatus" "Anseriformes" "Anatidae" "Lophodytes" "cucullatus" "Lophodytes_cucullatus"
"40" 1290 "Mergus_merganser" "Anseriformes" "Anatidae" "Mergus" "merganser" "Mergus_merganser"
"41" 1300 "Mergus_serrator" "Anseriformes" "Anatidae" "Mergus" "serrator" "Mergus_serrator"
"42" 1670 "Oxyura_jamaicensis" "Anseriformes" "Anatidae" "Oxyura" "jamaicensis" "Oxyura_jamaicensis"
"43" 3110 "Ortalis_vetula" "Galliformes" "Cracidae" "Ortalis" "vetula" "Ortalis_vetula"
"44" 2920 "Oreortyx_pictus" "Galliformes" "Odontophoridae" "Oreortyx" "pictus" "Oreortyx_pictus"
"45" 2890 "Colinus_virginianus" "Galliformes" "Odontophoridae" "Colinus" "virginianus" "Colinus_virginianus"
"46" 2930 "Callipepla_squamata" "Galliformes" "Odontophoridae" "Callipepla" "squamata" "Callipepla_squamata"
"47" 2940 "Callipepla_californica" "Galliformes" "Odontophoridae" "Callipepla" "californica" "Callipepla_californica"
"48" 2950 "Callipepla_gambelii" "Galliformes" "Odontophoridae" "Callipepla" "gambelii" "Callipepla_gambelii"
"49" 2960 "Cyrtonyx_montezumae" "Galliformes" "Odontophoridae" "Cyrtonyx" "montezumae" "Cyrtonyx_montezumae"
"50" 2882 "Alectoris_chukar" "Galliformes" "Phasianidae" "Alectoris" "chukar" "Alectoris_chukar"
"51" 2881 "Perdix_perdix" "Galliformes" "Phasianidae" "Perdix" "perdix" "Perdix_perdix"
"52" 3091 "Phasianus_colchicus" "Galliformes" "Phasianidae" "Phasianus" "colchicus" "Phasianus_colchicus"
"53" 3000 "Bonasa_umbellus" "Galliformes" "Phasianidae" "Bonasa" "umbellus" "Bonasa_umbellus"
"54" 3090 "Centrocercus_urophasianus" "Galliformes" "Phasianidae" "Centrocercus" "urophasianus" "Centrocercus_urophasianus"
"55" 3089 "Centrocercus_minimus" "Galliformes" "Phasianidae" "Centrocercus" "minimus" "Centrocercus_minimus"
"56" 2980 "Falcipennis_canadensis" "Galliformes" "Phasianidae" "Falcipennis" "canadensis" "Dendragapus_canadensis"
"57" 3010 "Lagopus_lagopus" "Galliformes" "Phasianidae" "Lagopus" "lagopus" "Lagopus_lagopus"
"58" 3020 "Lagopus_muta" "Galliformes" "Phasianidae" "Lagopus" "muta" "Lagopus_muta"
"59" 3040 "Lagopus_leucura" "Galliformes" "Phasianidae" "Lagopus" "leucura" "Lagopus_leucura"
"60" 2970 "Dendragapus_obscurus" "Galliformes" "Phasianidae" "Dendragapus" "obscurus" "Dendragapus_obscurus"
"61" 2971 "Dendragapus_fuliginosus" "Galliformes" "Phasianidae" "Dendragapus" "fuliginosus" "Dendragapus_fuliginosus"
"62" 2973 "Dendragapus_obscurus" "Galliformes" "Phasianidae" "Dendragapus" "obscurus" "Dendragapus_obscurus"
"63" 3080 "Tympanuchus_phasianellus" "Galliformes" "Phasianidae" "Tympanuchus" "phasianellus" "Tympanuchus_phasianellus"
