Sequence,animal,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
3103,Accipiter_albogularis,Accipitridae,Accipitriformes,AVIBASE-BBB59880,5,2,0,3,4,27.7,17.8,10.6,14.7,62.0,235.2,81.8,159.5,33.9,169.0,248.8,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,-11.73,-4.02,-8.15,158.49,37461.21
3090,Accipiter_badius,Accipitridae,Accipitriformes,AVIBASE-1A0ECB6E,10,4,6,0,8,20.6,12.1,8.8,11.6,43.0,186.7,62.5,127.4,32.9,140.6,131.2,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Vertivore,Insessorial,-29.47,46.39,8.23,44.98,22374973.00
3125,Accipiter_bicolor,Accipitridae,Accipitriformes,AVIBASE-ADBE44E1,11,4,5,2,8,25.0,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,287.5,Dunning,NA,NO,NA,NA,Woodland,2,2,Carnivore,Vertivore,Generalist,-55.72,23.73,-10.10,-59.96,14309701.27
3116,Accipiter_brachyurus,Accipitridae,Accipitriformes,AVIBASE-68BF920B,4,4,0,0,3,22.5,14.0,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142.0,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,-6.31,-4.08,-5.45,150.68,35580.71
3092,Accipiter_brevipes,Accipitridae,Accipitriformes,AVIBASE-8492E4B7,8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Vertivore,Generalist,31.19,55.86,45.24,45.33,2936751.80
3091,Accipiter_butleri,Accipitridae,Accipitriformes,AVIBASE-6B64C150,1,0,1,0,1,20.0,11.9,6.6,12.0,48.7,166.0,42.9,123.1,25.8,127.0,122.0,Updated_literature,Dunning_(2021),NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,7.87,9.26,8.42,93.17,327.84
3089,Accipiter_castanilius,Accipitridae,Accipitriformes,AVIBASE-9D80E72A,6,2,2,2,4,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24.0,135.4,157.5,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,-10.36,10.12,0.71,18.29,2096401.63
3115,Accipiter_cirrocephalus,Accipitridae,Accipitriformes,AVIBASE-21957C95,5,2,3,0,4,19.2,10.6,7.7,9.6,60.3,213.0,81.3,133.7,37.8,155.4,165.7,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Generalist,-43.64,0.04,-23.36,137.81,5488639.45
3130,Accipiter_collaris,Accipitridae,Accipitriformes,AVIBASE-32760AD5,7,1,5,1,6,20.0,11.2,8.6,11.0,43.6,165.9,49.5,115.2,30.0,125.0,97.8,Updated_literature,BoW,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,-13.20,11.25,2.47,-75.57,253265.36
3123,Accipiter_cooperii,Accipitridae,Accipitriformes,AVIBASE-EB98812F,5,2,3,0,4,25.4,13.9,8.6,13.2,62.0,241.2,77.8,163.5,32.3,188.4,429.7,Dunning,NA,NO,NA,NA,Woodland,2,3,Carnivore,Vertivore,Aerial,23.28,53.31,41.25,-100.49,8393137.06
