FID	partition	Ecoregion	Kilometers
0	02_001_5	Southeastern_Plains	7.90
1	02_001_4	Interior_Plateau	7.89
2	02_001_3	Interior_Plateau	7.67
3	02_001_2	Interior_Plateau	7.82
4	02_001_1	Interior_Plateau	8.01
5	02_007_5	Interior_Plateau	8.58
6	02_007_4	Interior_Plateau	8.74
7	02_007_3	Interior_Plateau	8.53
8	02_007_2	Interior_Plateau	9.22
9	02_007_1	Southwestern_Appalachians	8.92
10	02_008_1	Ridge_and_Valley	8.22
11	02_008_2	Ridge_and_Valley	8.22
12	02_008_3	Ridge_and_Valley	7.90
13	02_008_4	Ridge_and_Valley	8.15
14	02_008_5	Ridge_and_Valley	7.93
15	02_014_5	Piedmont	8.73
16	02_014_4	Ridge_and_Valley	8.88
17	02_014_3	Ridge_and_Valley	8.43
18	02_014_2	Ridge_and_Valley	8.06
19	02_014_1	Ridge_and_Valley	8.59
20	02_019_1	Southeastern_Plains	8.64
21	02_019_2	Southeastern_Plains	7.77
22	02_019_3	Southeastern_Plains	8.44
23	02_019_4	Southeastern_Plains	8.37
24	02_019_5	Southeastern_Plains	8.38
25	02_022_1	Southeastern_Plains	8.28
26	02_022_2	Southeastern_Plains	8.08
27	02_022_3	Southeastern_Plains	8.19
28	02_022_4	Southeastern_Plains	7.46
29	02_022_5	Southeastern_Plains	7.76
30	02_024_5	Southeastern_Plains	8.58
31	02_024_4	Southeastern_Plains	8.39
32	02_024_3	Southeastern_Plains	8.54
33	02_024_2	Southeastern_Plains	8.68
34	02_024_1	Southeastern_Plains	8.38
35	02_025_5	Piedmont	8.02
36	02_025_4	Piedmont	7.99
37	02_025_3	Southeastern_Plains	8.04
38	02_025_2	Southeastern_Plains	7.85
39	02_025_1	Southeastern_Plains	8.77
40	02_029_1	Southeastern_Plains	7.73
41	02_029_2	Southeastern_Plains	7.62
42	02_029_3	Southeastern_Plains	7.36
43	02_029_4	Southeastern_Plains	7.54
44	02_029_5	Southeastern_Plains	7.64
45	02_038_5	Southeastern_Plains	8.50
46	02_038_4	Southeastern_Plains	7.87
47	02_038_3	Southeastern_Plains	7.71
48	02_038_2	Southeastern_Plains	7.88
49	02_038_1	Southeastern_Plains	7.95
50	02_043_5	Southwestern_Appalachians	7.61
51	02_043_4	Ridge_and_Valley	7.86
52	02_043_3	Ridge_and_Valley	8.20
53	02_043_2	Southeastern_Plains	7.65
54	02_043_1	Ridge_and_Valley	7.25
55	02_047_1	Southeastern_Plains	7.61
56	02_047_2	Southeastern_Plains	8.29
57	02_047_3	Southeastern_Plains	8.18
58	02_047_4	Southeastern_Plains	7.69
59	02_047_5	Southeastern_Plains	8.10
60	02_052_5	Southeastern_Plains	8.28
61	02_052_4	Southeastern_Plains	8.07
62	02_052_3	Southeastern_Plains	7.91
63	02_052_2	Southeastern_Plains	8.24
64	02_052_1	Southeastern_Plains	8.24
65	02_060_5	Southeastern_Plains	8.37
66	02_060_4	Southwestern_Appalachians	8.11
67	02_060_3	Southwestern_Appalachians	8.71
68	02_060_2	Southwestern_Appalachians	8.43
69	02_060_1	Southwestern_Appalachians	8.82
70	02_072_5	Interior_Plateau	7.98
71	02_072_4	Interior_Plateau	7.81
72	02_072_3	Interior_Plateau	7.92
73	02_072_2	Interior_Plateau	7.90
74	02_072_1	Interior_Plateau	8.00
75	02_105_5	Southwestern_Appalachians	7.94
76	02_105_4	Southwestern_Appalachians	8.25
77	02_105_3	Southwestern_Appalachians	7.94
78	02_105_2	Southwestern_Appalachians	8.64
79	02_105_1	Southwestern_Appalachians	8.53
80	02_111_1	Ridge_and_Valley	7.75
81	02_111_2	Ridge_and_Valley	8.23
82	02_111_3	Piedmont	8.38
83	02_111_4	Piedmont	8.02
84	02_111_5	Ridge_and_Valley	8.07
85	02_218_1	Southeastern_Plains	7.58
86	02_218_2	Southeastern_Plains	7.91
87	02_218_3	Southeastern_Plains	7.72
88	02_218_4	Southeastern_Plains	7.03
89	02_218_5	Southeastern_Plains	7.28
90	06_012_5	Mojave_Basin_and_Range	7.57
91	06_012_4	Mojave_Basin_and_Range	8.24
92	06_012_3	Mojave_Basin_and_Range	8.36
93	06_012_2	Mojave_Basin_and_Range	7.96
94	06_012_1	Mojave_Basin_and_Range	7.09
95	06_018_5	Sonoran_Desert	7.50
96	06_018_4	Sonoran_Desert	7.30
97	06_018_3	Sonoran_Desert	7.44
98	06_018_2	Sonoran_Desert	8.03
99	06_018_1	Sonoran_Desert	8.69
100	06_024_1	Sonoran_Desert	8.98
101	06_024_2	Sonoran_Desert	8.90
102	06_024_3	Sonoran_Desert	9.32
103	06_024_4	Sonoran_Desert	8.55
104	06_024_5	Sonoran_Desert	8.36
105	06_028_1	Madrean_Archipelago	8.70
106	06_028_2	Madrean_Archipelago	9.08
107	06_028_3	Madrean_Archipelago	8.94
108	06_028_4	Madrean_Archipelago	8.74
109	06_028_5	Madrean_Archipelago	8.75
110	06_032_5	Madrean_Archipelago	8.99
111	06_032_4	Madrean_Archipelago	8.61
112	06_032_3	Madrean_Archipelago	8.63
113	06_032_2	Madrean_Archipelago	9.16
114	06_032_1	Madrean_Archipelago	8.64
115	06_127_1	Sonoran_Desert	7.62
116	06_127_2	Sonoran_Desert	7.59
117	06_127_3	Sonoran_Desert	8.05
118	06_127_4	Sonoran_Desert	7.91
119	06_127_5	Sonoran_Desert	8.59
120	07_005_5	South_Central_Plains	8.46
121	07_005_4	South_Central_Plains	8.33
122	07_005_3	South_Central_Plains	7.73
123	07_005_2	South_Central_Plains	8.12
124	07_005_1	South_Central_Plains	7.95
125	07_007_5	South_Central_Plains	7.96
126	07_007_4	South_Central_Plains	7.91
127	07_007_3	South_Central_Plains	8.00
128	07_007_2	South_Central_Plains	7.69
129	07_007_1	South_Central_Plains	7.16
130	07_008_5	Mississippi_Alluvial_Plain	7.98
131	07_008_4	Mississippi_Alluvial_Plain	7.83
132	07_008_3	Mississippi_Alluvial_Plain	7.75
133	07_008_2	Mississippi_Alluvial_Plain	8.40
134	07_008_1	Mississippi_Alluvial_Plain	8.12
135	07_010_5	Mississippi_Alluvial_Plain	8.26
136	07_010_4	Mississippi_Alluvial_Plain	8.23
137	07_010_3	Mississippi_Alluvial_Plain	8.10
138	07_010_2	Mississippi_Alluvial_Plain	8.52
139	07_010_1	Mississippi_Alluvial_Plain	8.49
140	07_015_1	Arkansas_Valley	7.25
141	07_015_2	Arkansas_Valley	7.36
142	07_015_3	Arkansas_Valley	7.43
143	07_015_4	Arkansas_Valley	7.44
144	07_015_5	Arkansas_Valley	7.55
145	07_019_5	Mississippi_Alluvial_Plain	7.65
146	07_019_4	Ozark_Highlands	7.97
147	07_019_3	Ozark_Highlands	7.81
148	07_019_2	Ozark_Highlands	8.02
149	07_019_1	Ozark_Highlands	7.43
150	07_020_5	Arkansas_Valley	8.42
151	07_020_4	Arkansas_Valley	7.73
152	07_020_3	Arkansas_Valley	8.28
153	07_020_2	Boston_Mountains	8.34
154	07_020_1	Boston_Mountains	8.01
155	07_024_1	Arkansas_Valley	7.47
156	07_024_2	Arkansas_Valley	7.65
157	07_024_3	Arkansas_Valley	7.99
158	07_024_4	Arkansas_Valley	8.08
159	07_024_5	Boston_Mountains	7.76
160	07_028_5	Boston_Mountains	7.87
161	07_028_4	Boston_Mountains	8.01
162	07_028_3	Boston_Mountains	7.59
163	07_028_2	Boston_Mountains	7.92
164	07_028_1	Boston_Mountains	7.48
165	07_109_1	Mississippi_Alluvial_Plain	8.59
166	07_109_2	Mississippi_Alluvial_Plain	8.58
167	07_109_3	Mississippi_Alluvial_Plain	9.17
168	07_109_4	Mississippi_Alluvial_Plain	8.78
169	07_109_5	Mississippi_Alluvial_Plain	8.69
170	07_111_1	Ouachita_Mountains	8.21
171	07_111_2	Ouachita_Mountains	7.69
172	07_111_3	Ouachita_Mountains	7.83
173	07_111_4	Ouachita_Mountains	8.02
174	07_111_5	Ouachita_Mountains	7.72
175	07_901_5	Arkansas_Valley	8.88
176	07_901_4	Arkansas_Valley	8.32
177	07_901_3	Arkansas_Valley	8.13
178	07_901_2	Arkansas_Valley	7.99
179	07_901_1	Arkansas_Valley	8.36
180	07_902_5	Boston_Mountains	7.48
181	07_902_4	Boston_Mountains	7.93
182	07_902_3	Boston_Mountains	8.09
183	07_902_2	Boston_Mountains	8.13
184	07_902_1	Boston_Mountains	7.69
185	14_001_5	Klamath_Mountains	8.96
186	14_001_4	Klamath_Mountains	8.62
187	14_001_3	Klamath_Mountains	8.23
188	14_001_2	Klamath_Mountains	8.59
189	14_001_1	Klamath_Mountains	9.10
190	14_071_5	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	8.52
191	14_071_4	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	8.89
192	14_071_3	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	8.60
193	14_071_2	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	8.76
194	14_071_1	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	8.79
195	14_089_5	Sonoran_Desert	8.25
196	14_089_4	Sonoran_Desert	8.68
197	14_089_3	Sonoran_Desert	8.03
198	14_089_2	Sonoran_Desert	8.21
199	14_089_1	Sonoran_Desert	7.43
200	14_106_1	Southern_and_Baja_California_Pine-Oak_Mountains	8.27
201	14_106_2	Southern_and_Baja_California_Pine-Oak_Mountains	8.45
202	14_106_3	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	8.18
203	14_106_4	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	7.94
204	14_106_5	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	7.92
205	14_153_5	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	8.92
206	14_153_4	California_Coastal_Sage._Chaparral._and_Oak_Woodlands	8.50
