Source,Institution.name,Specimens.sampled,Institution.city,Institution.country,Latitude,Longitude,Address
NHMUK,Natural History Museum,46060,London,UK,51.496715,-0.176367,"Cromwell Rd, Kensington, London SW7 5BD, UK"
AMNH,American Museum of Natural History,5769,New York,USA,40.782045,-73.971711,"Central Park West & 79th St, New York, NY 10024, USA"
ZFMK,Zoologisches Forschungsmuseum Alexander Koenig,3451,Bonn,Germany,50.722133,7.113566,"Adenauerallee 160, 53113 Bonn, Germany"
LSUMZ,Louisiana State University Museum of Natural Science,2494,Baton Rouge,USA,30.415382,-91.18012," Murphy J. Foster Hall, 119 Dalrymple Dr, Baton Rouge, LA 70802, USA"
FMNH,Field Museum of Natural History,2299,Chicago,USA,41.866261,-87.616981,"1400 S Lake Shore Dr, Chicago, IL 60605, USA"
MPEG,Museu Paraense Emilio Goeldi,2144,Belém,Brazil,-1.452184,-48.477191,"Av. Gov Magalhães Barata, 376 - São Brás, Belém - PA, 66040-170, Brazil"
UFPE,Federal University of Pernambuco,1992,Recife,Brazil,-8.051707,-34.950432,"Av. Prof. Moraes Rego, 1235 - Cidade Universitária, Recife - PE, 50670-901, Brazil"
NHMD,"Natural History Museum of Denmark, University of Copenhagen",1544,Copenhagen,Denmark,55.68023,12.57241,"Nørregade 10, 1165 København, Denmark"
ANWC,"Australian National Wildlife Collection, Commonwealth Scientific and Industrial Research Organisation (CSIRO)",1064,Canberra,Australia,-35.237386,149.064961,"Head office: GPO Box 1700, Canberra ACT 2601, Australia"
SMF,Senckenberg Forschungsinstitut und Naturmuseum,877,Frankfurt,Germany,50.111851,8.682246,"Senckenberganlage 25, 60325 Frankfurt am Main, Germany"
ZMB,Leibniz-Institut für Evolutions und Biodiversitätsforschung an der Humboldt-Universität zu Berlin,759,Berlin,Germany,52.530573,13.379175,"Invalidenstraße 43, 10115 Berlin, Germany"
UCR,"Museo de Zoología, Escuela de Biología, Universidad de Costa Rica, San Pedro de Montes de Oca",704,San José,Costa Rica,9.937574,-84.051157,"Museum of Zoology, School of Biology, University of Costa Rica, San Pedro, 11501-2060 San José, Costa Rica"
MNCR,"Museo Nacional de Costa Rica, San José",598,San José,Costa Rica,9.932778,-84.071389,"Calle 17, between Central and Second Avenue, San José, Costa Rica"
MMUM,Manchester Metropolitan University Museum,580,Manchester,UK,53.470942,-2.239929,"MMU, Special Collections, All Saints Library, All Saints, Manchester, M15 6BH, UK"
USNM,Smithsonian Institute’s National Museum of Natural History,565,Washington DC,USA,38.891266,-77.026065,"10th St. & Constitution Ave. NW, Washington, DC 20560, USA"
MHN-UCa,Universidad de Caldas,553,Manizales,Colombia,5.056874,-75.492931,"Cl. 65 #26-10, Manizales, Caldas, Colombia"
MZUSP,Museum of Zoology of the University of São Paulo,538,São Paulo,Brazil,-23.588168,-46.610114,"Av. Nazaré, 481 - Ipiranga, São Paulo - SP, 04263-000, Brazil"
ICN,"Instituto de Ciencias Naturales, Universidad Nacional de Colombia",412,Bogotá,Colombia,4.637684,-74.082619,"Carrera 30 #45-03, Edif.425 (Facultad de Ciencias), Bogota D.C, Coloumbia"
CBF,"Colección Boliviana de Fauna, Museo Nacional de Historia Natural and Instituto de Ecología de la Universidad Mayor de San Andrés",308,La Paz,Bolivia,-16.538685,-68.066349,"Calle 26 de Cota Cota, Sailla No 8706, La Paz, Bolivia"
OUM,Oxford University Museum of Natural History,298,Oxford,UK,51.758703,-1.255467,"Parks Rd, Oxford OX1 3PW, UK"
ANSP,Academy of Natural Sciences of Drexel University (Philadelphia),239,Philadelphia,USA,39.956927,-75.171137,"1900 Benjamin Franklin Pkwy, Philadelphia, PA 19103, USA"
UPLB,"University of the Philippines Los Baños, Museum of Natural History",215,Los Baños,Philippines,14.156077,121.23651,"College of Forestry and Natural Resources Campus, UP Los Baños, Laguna, Philippines"
FLMNH,Florida Museum of Natural History,206,Florida,USA,29.635907,-82.370402,"3215 Hull Rd, Gainesville, FL 32611, USA"
ROM,"Royal Ontario Museum, Department of Natural History",173,Toronto,Canada,43.66771,-79.394777,"100 Queens Park, Toronto, ON M5S 2C6, Canada"
SNSD,Senckenberg Naturhistorische Sammlungen Dresden,168,Dresden,Germany,51.050364,13.733308,"Königsbrücker Landstraße 159, 01109 Dresden, Germany"
YPM,Yale Peabody Museum of Natural History,165,New Haven,USA,41.315785,-72.921048,"170 Whitney Ave, New Haven, CT 06511, USA"
MCZ,"Museum of Comparative Zoology, Harvard University",157,Cambridge,USA,42.378363,-71.115821,"26 Oxford St, Cambridge, MA 02138, USA"
MNHN,Muséum national d'Histoire naturelle,140,Paris,France,48.844293,2.356082,"57 Rue Cuvier, 75005 Paris, France"
