Unique.Specimen.Identifier,Family1,Order1,Sequence,Specimen.number,Source,Sex,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Acanthiza apicalis_822912,Acanthizidae,PASSERIFORMES,6222,822912,AMNH,F,11.4,NA,2.4,2.4,NA,43,NA,NA,NA,40,1,BM,0,0,1
Acanthiza apicalis_822912,Acanthizidae,PASSERIFORMES,6222,822912,AMNH,F,11.8,NA,2.2,2.6,17.6,48.5,NA,NA,NA,40,2,VR,0,0,1
Acanthiza apicalis_822915,Acanthizidae,PASSERIFORMES,6222,822915,AMNH,F,11.4,NA,2.2,2.5,NA,52,NA,NA,NA,46,1,BM,0,0,1
Acanthiza apicalis_822915,Acanthizidae,PASSERIFORMES,6222,822915,AMNH,F,11.3,NA,2.2,2.5,18.8,52,NA,NA,NA,47,2,VR,0,0,1
Acanthiza apicalis_822915,Acanthizidae,PASSERIFORMES,6222,822915,AMNH,F,11.3,NA,2.1,2.5,19.5,52,NA,NA,NA,47,3,VR,0,0,1
Acanthiza katherina_600488,Acanthizidae,PASSERIFORMES,6225,600488,AMNH,F,11.1,NA,2.2,2.5,17.8,50,NA,NA,NA,40.5,1,VR,0,0,0
Acanthiza katherina_600488,Acanthizidae,PASSERIFORMES,6225,600488,AMNH,U,10.4,5.7,2.4,2.7,17.1,50,8.8,41.2,17.6,45.5,2,CS,1,0,0
Acanthiza katherina_822916,Acanthizidae,PASSERIFORMES,6225,822916,AMNH,M,12.6,NA,2.3,2.4,18.4,54,NA,NA,NA,44.5,1,VR,0,0,0
Acanthiza katherina_822916,Acanthizidae,PASSERIFORMES,6225,822916,AMNH,M,12,5.8,2.3,2.7,18.6,53.5,9.4,44.1,17.6,45,2,CS,1,0,0
Acanthornis magna_601237,Acanthizidae,PASSERIFORMES,6213,601237,AMNH,F,15.4,NA,2.2,2.8,21.3,54.5,NA,NA,NA,49.5,1,VR,0,0,1
Acanthornis magna_601237,Acanthizidae,PASSERIFORMES,6213,601237,AMNH,F,15.3,NA,2.3,2.9,21.1,54,NA,NA,NA,49,2,VR,0,0,1
Actenoides capucinus_299294,Alcedinidae,CORACIIFORMES,3471,299294,AMNH,M,55,NA,NA,NA,NA,149,NA,NA,NA,119,1,NJC,0,0,0
Actenoides capucinus_299294,Alcedinidae,CORACIIFORMES,3471,299294,AMNH,M,56.2,40.8,13.8,20.2,22.6,150.7,29,121.7,19.2,114.7,2,BCW,1,0,0
Actenoides capucinus_299295,Alcedinidae,CORACIIFORMES,3471,299295,AMNH,F,61,NA,NA,NA,NA,154,NA,NA,NA,122,1,NJC,0,0,0
Actenoides capucinus_299295,Alcedinidae,CORACIIFORMES,3471,299295,AMNH,F,60.6,44.4,14.4,20.4,22.4,155,30.1,124.9,19.4,115,2,BCW,1,0,0
Actenoides capucinus_640359,Alcedinidae,CORACIIFORMES,3471,640359,AMNH,F,56,NA,NA,NA,NA,144,NA,NA,NA,117,1,NJC,0,0,0
Actenoides capucinus_640359,Alcedinidae,CORACIIFORMES,3471,640359,AMNH,F,55.1,42,14.1,17.5,22.3,145,27.3,117.8,18.8,113.6,2,BCW,1,0,0
Amytornis ballarae_822824,Maluridae,PASSERIFORMES,5962,822824,AMNH,M,14.2,NA,3.7,5,25.6,60.5,NA,NA,NA,77.5,1,VR,0,0,0
Amytornis ballarae_822824,Maluridae,PASSERIFORMES,5962,822824,AMNH,M,15.4,8.1,3.9,4.9,24.2,60.9,10.2,50.7,16.7,71.8,2,BCW,1,0,0
Amytornis ballarae_822826,Maluridae,PASSERIFORMES,5962,822826,AMNH,F,13.1,NA,3.3,4.9,22.9,58,NA,NA,NA,70,1,VR,0,0,0
Amytornis ballarae_822826,Maluridae,PASSERIFORMES,5962,822826,AMNH,F,15.5,8.7,4,4.9,23,57,7,50,12.3,68.3,2,BCW,1,0,0
Amytornis ballarae_822827,Maluridae,PASSERIFORMES,5962,822827,AMNH,M,15.7,NA,3.6,5.1,25.4,62.5,NA,NA,NA,78.5,1,VR,0,0,0
Amytornis ballarae_822827,Maluridae,PASSERIFORMES,5962,822827,AMNH,M,16.3,7.7,4,5,23.5,61.8,6.9,54.9,11.2,70.2,2,BCW,1,0,0
Androphobus viridis_340497,Psophodidae,PASSERIFORMES,6358,340497,AMNH,M,15.5,7.9,3.9,4.5,25.9,64,4.9,59.1,7.7,72,1,CS,1,1,0
Androphobus viridis_340497,Psophodidae,PASSERIFORMES,6358,340497,AMNH,M,16.1,7.8,4.5,4.5,26.1,62,5,57,8.1,76,2,BGF,1,1,0
Androphobus viridis_340498,Psophodidae,PASSERIFORMES,6358,340498,AMNH,M,14.7,8.1,3.8,4.6,24.8,66,4.3,61.7,6.5,72,1,CS,1,1,0
Androphobus viridis_340498,Psophodidae,PASSERIFORMES,6358,340498,AMNH,M,15.4,8.6,4.1,4.4,25,62,5,57,8.1,76,2,BGF,1,1,0
Androphobus viridis_340499,Psophodidae,PASSERIFORMES,6358,340499,AMNH,F,16,8.6,3.6,4.8,25,64,5.7,58.3,8.9,65,1,CS,1,1,0
Androphobus viridis_340499,Psophodidae,PASSERIFORMES,6358,340499,AMNH,F,16.4,8.7,4.8,5.3,24.8,64,4,60,6.3,75,2,BGF,1,1,0
Anthochaera chrysoptera_696448,Meliphagidae,PASSERIFORMES,6130,696448,AMNH,F,33.9,NA,4.3,6,NA,132,NA,NA,NA,141,1,BM,0,0,1
Anthochaera chrysoptera_696448,Meliphagidae,PASSERIFORMES,6130,696448,AMNH,F,33.9,NA,4.3,5.9,27.3,131,NA,NA,NA,137,2,VR,0,0,1
Antrostomus arizonae_754317,Caprimulgidae,CAPRIMULGIFORMES,1041,754317,AMNH,M,21.6,7.9,5.6,3.3,17.9,164.4,81.6,82.8,49.6,112.5,1,BCW,1,1,0
Antrostomus arizonae_754317,Caprimulgidae,CAPRIMULGIFORMES,1041,754317,AMNH,M,17.3,7.9,5.2,4,NA,164.7,79.6,85.1,48.3,113.2,2,BCW,1,1,0
