,familyIDS,Number_of_species_per_family,Average_number_of_specimens_per_family,Average_number_of_complete_specimens_per_family,Portion_of_family_with_at_least_one_full_specimen,Portion_of_complete_specimens_per_family,Portion_of_family_with_at_least_four_specimens,Portion_of_family_with_at_least_four_full_traits_measured_per_species,Portion_of_family_with_at_least_four_main_traits_measured_per_species
1,Trochilidae,366,8.8,4.4,98.9,68.6,94.8,85.2,86.1
2,Scotocercidae,37,6.6,4.2,94.6,77.6,81.1,75.7,81.1
3,Cracidae,56,6.3,3.8,98.2,69.8,92.9,83.9,87.5
4,Meliphagidae,195,9.9,3.6,92.3,49.5,84.6,80,82.6
5,Thraupidae,408,12.2,4.6,93.1,61.1,90.2,84.1,85.3
6,Fringillidae,210,7.6,4.1,93.8,68.6,88.6,85.7,87.1
7,Acanthisittidae,2,5.5,4,100,73.3,100,100,100
8,Acanthizidae,64,11.4,4.2,98.4,41.3,95.3,85.9,93.8
9,Leiotrichidae,148,4.4,3.6,93.9,79.5,84.5,84.5,84.5
10,Accipitridae,249,5.8,4.2,99.2,78.4,90.8,86.3,87.6
11,Bucerotidae,62,7,4.1,100,65.9,91.9,87.1,91.9
12,Macrosphenidae,21,4.5,3.4,90.5,73.1,76.2,76.2,76.2
13,Sturnidae,124,6.4,4.2,92.7,71,87.9,86.3,86.3
14,Pycnonotidae,158,12.7,5.4,86.7,69.1,81.6,80.4,81
15,Furnariidae,329,11.8,3.5,91.2,34.8,93.3,68.7,69.3
16,Acrocephalidae,54,6.7,3.8,98.1,72.8,79.6,75.9,75.9
17,Rhinocryptidae,63,5.1,3.3,92.1,68.2,74.6,65.1,69.8
18,Numididae,8,6.8,3.9,100,61.9,100,87.5,87.5
19,Alcedinidae,120,8,4.4,97.5,70.3,92.5,84.2,85
20,Scolopacidae,91,5.6,3.9,100,75.3,95.6,95.6,95.6
21,Jacanidae,8,6.9,4.8,100,72.7,100,100,100
22,Podicipedidae,20,6.4,3.3,95,58.1,100,80,100
23,Aegithalidae,14,5.1,3.7,85.7,72.2,85.7,85.7,85.7
24,Aegithinidae,4,7.5,6.2,100,82.5,100,100,100
25,Strigidae,222,4.5,3.4,90.5,76.8,73,67.1,68
26,Aegothelidae,10,2.9,2.5,90,84,40,30,40
27,Megapodiidae,21,4,3.5,100,90,76.2,66.7,66.7
28,Apodidae,97,5.3,3.8,95.9,81.7,79.4,72.2,72.2
29,Alcidae,24,4.7,3.9,100,84.5,95.8,91.7,91.7
30,Nectariniidae,147,12.6,5,91.8,71.4,88.4,87.8,88.4
31,Phasianidae,187,5.1,3.9,97.9,79.4,91.4,82.9,86.6
32,Otididae,26,5.1,4,100,80.8,96.2,88.5,92.3
33,Ardeidae,65,6.4,4.5,98.5,75.2,96.9,96.9,96.9
34,Psittacidae,380,5.8,4.2,97.9,79.4,93.2,87.9,90.3
35,Icteridae,114,7.3,4.3,96.5,69,88.6,85.1,87.7
